n,RTT (us)
0,225
1,130
2,131
3,128
4,151
5,131
6,133
7,51
8,49
9,49
10,50
11,50
12,49
13,53
14,50
15,51
16,49
17,49
18,49
19,49
20,50
21,50
22,49
23,48
24,50
25,50
26,49
27,49
28,49
29,49
30,49
31,49
32,51
33,48
34,48
35,49
36,49
37,49
38,50
39,49
40,51
41,50
42,49
43,49
44,48
45,50
46,49
47,49
48,49
49,49
50,48
51,51
52,49
53,48
54,49
55,49
56,48
57,49
58,48
59,49
60,49
61,50
62,51
63,49
64,49
65,49
66,49
67,48
68,48
69,47
70,48
71,48
72,49
73,48
74,48
75,48
76,47
77,48
78,48
79,48
80,48
81,55
82,49
83,48
84,48
85,48
86,49
87,49
88,48
89,49
90,48
91,50
92,50
93,49
94,48
95,49
96,50
97,48
98,50
99,49
100,50
101,49
102,49
103,49
104,47
105,48
106,49
107,47
108,45
109,49
110,49
111,48
112,49
113,48
114,48
115,49
116,49
117,49
118,48
119,48
120,48
121,48
122,49
123,48
124,49
125,48
126,50
127,49
128,49
129,49
130,50
131,47
132,48
133,48
134,49
135,48
136,49
137,49
138,49
139,49
140,48
141,48
142,49
143,48
144,48
145,48
146,49
147,52
148,48
149,50
150,47
151,48
152,48
153,49
154,47
155,48
156,51
157,48
158,44
159,47
160,49
161,48
162,49
163,48
164,47
165,48
166,48
167,48
168,48
169,47
170,47
171,47
172,47
173,47
174,48
175,47
176,48
177,48
178,49
179,49
180,48
181,48
182,49
183,48
184,47
185,48
186,51
187,49
188,47
189,49
190,48
191,48
192,49
193,47
194,49
195,49
196,48
197,47
198,48
199,47
200,47
201,47
202,48
203,48
204,47
205,47
206,48
207,47
208,47
209,47
210,47
211,47
212,47
213,48
214,48
215,50
216,49
217,48
218,48
219,47
220,48
221,48
222,48
223,49
224,48
225,47
226,48
227,47
228,49
229,48
230,48
231,48
232,48
233,47
234,48
235,48
236,49
237,48
238,47
239,47
240,48
241,47
242,47
243,48
244,50
245,48
246,49
247,49
248,48
249,47
250,48
251,48
252,48
253,47
254,48
255,47
256,51
257,47
258,48
259,48
260,49
261,49
262,49
263,48
264,48
265,50
266,48
267,47
268,47
269,49
270,48
271,48
272,49
273,48
274,48
275,49
276,43
277,47
278,47
279,48
280,47
281,48
282,48
283,49
284,48
285,49
286,48
287,48
288,48
289,48
290,47
291,48
292,48
293,47
294,49
295,43
296,47
297,47
298,48
299,47
300,47
301,46
302,47
303,49
304,47
305,47
306,49
307,50
308,48
309,47
310,49
311,47
312,47
313,47
314,46
315,49
316,48
317,48
318,46
319,47
320,46
321,47
322,47
323,49
324,48
325,47
326,48
327,49
328,47
329,47
330,47
331,47
332,47
333,48
334,48
335,48
336,49
337,49
338,48
339,48
340,48
341,48
342,49
343,48
344,47
345,47
346,48
347,48
348,48
349,47
350,47
351,48
352,47
353,47
354,47
355,47
356,48
357,47
358,48
359,48
360,48
361,48
362,48
363,48
364,47
365,46
366,48
367,48
368,48
369,48
370,47
371,48
372,48
373,47
374,48
375,48
376,47
377,48
378,47
379,47
380,47
381,48
382,47
383,48
384,48
385,49
386,48
387,48
388,48
389,47
390,47
391,47
392,48
393,49
394,48
395,47
396,47
397,48
398,48
399,46
400,46
401,48
402,48
403,47
404,48
405,48
406,47
407,47
408,47
409,48
410,46
411,48
412,47
413,43
414,46
415,47
416,47
417,48
418,48
419,48
420,48
421,44
422,51
423,47
424,47
425,47
426,46
427,48
428,47
429,47
430,48
431,47
432,47
433,45
434,48
435,48
436,47
437,48
438,47
439,48
440,47
441,47
442,48
443,47
444,48
445,48
446,48
447,47
448,48
449,47
450,48
451,47
452,47
453,47
454,48
455,49
456,47
457,48
458,47
459,46
460,47
461,47
462,47
463,47
464,47
465,47
466,48
467,48
468,48
469,48
470,47
471,48
472,48
473,46
474,47
475,47
476,47
477,46
478,47
479,47
480,47
481,50
482,48
483,48
484,48
485,48
486,48
487,47
488,48
489,46
490,47
491,48
492,58
493,48
494,47
495,48
496,48
497,48
498,47
499,47
500,47
501,48
502,46
503,47
504,47
505,48
506,47
507,46
508,46
509,48
510,48
511,48
512,48
513,48
514,48
515,47
516,47
517,47
518,46
519,47
520,43
521,49
522,46
523,47
524,47
525,46
526,48
527,46
528,47
529,47
530,48
531,47
532,47
533,48
534,47
535,48
536,47
537,46
538,48
539,47
540,50
541,48
542,48
543,47
544,47
545,47
546,47
547,48
548,47
549,46
550,48
551,47
552,46
553,48
554,48
555,47
556,47
557,47
558,47
559,47
560,47
561,47
562,46
563,47
564,46
565,46
566,47
567,47
568,47
569,47
570,48
571,47
572,47
573,47
574,47
575,49
576,47
577,47
578,48
579,47
580,46
581,47
582,48
583,47
584,47
585,47
586,48
587,48
588,47
589,47
590,47
591,80
592,48
593,47
594,47
595,48
596,48
597,48
598,47
599,47
600,47
601,48
602,46
603,46
604,47
605,47
606,47
607,47
608,47
609,47
610,47
611,46
612,47
613,47
614,48
615,46
616,47
617,48
618,47
619,47
620,47
621,47
622,47
623,47
624,47
625,46
626,47
627,48
628,47
629,46
630,47
631,47
632,47
633,46
634,47
635,48
636,47
637,48
638,47
639,48
640,46
641,48
642,47
643,48
644,47
645,48
646,48
647,48
648,47
649,47
650,49
651,47
652,48
653,48
654,47
655,48
656,46
657,49
658,49
659,47
660,48
661,47
662,48
663,47
664,47
665,47
666,47
667,47
668,46
669,47
670,46
671,47
672,47
673,47
674,47
675,47
676,47
677,46
678,49
679,47
680,47
681,48
682,48
683,47
684,48
685,47
686,47
687,47
688,47
689,47
690,44
691,46
692,47
693,46
694,47
695,47
696,47
697,47
698,47
699,47
700,46
701,46
702,47
703,47
704,47
705,47
706,48
707,47
708,47
709,46
710,48
711,46
712,46
713,46
714,46
715,48
716,47
717,46
718,48
719,47
720,48
721,47
722,46
723,46
724,47
725,47
726,47
727,47
728,46
729,47
730,55
731,47
732,48
733,46
734,46
735,46
736,47
737,47
738,45
739,50
740,53
741,51
742,50
743,51
744,51
745,50
746,50
747,51
748,52
749,50
750,50
751,50
752,51
753,50
754,51
755,46
756,54
757,51
758,50
759,51
760,52
761,51
762,51
763,50
764,51
765,51
766,52
767,50
768,50
769,64
770,51
771,50
772,51
773,53
774,50
775,51
776,53
777,51
778,51
779,51
780,51
781,50
782,51
783,50
784,52
785,50
786,50
787,51
788,50
789,51
790,51
791,50
792,51
793,50
794,50
795,50
796,51
797,51
798,50
799,52
800,51
801,52
802,52
803,49
804,50
805,51
806,51
807,51
808,50
809,50
810,50
811,53
812,51
813,50
814,51
815,50
816,51
817,52
818,52
819,51
820,50
821,51
822,51
823,52
824,52
825,51
826,50
827,50
828,51
829,50
830,45
831,52
832,50
833,50
834,51
835,51
836,52
837,51
838,51
839,50
840,49
841,51
842,58
843,51
844,51
845,51
846,51
847,50
848,51
849,51
850,50
851,51
852,51
853,51
854,51
855,51
856,51
857,51
858,51
859,50
860,52
861,51
862,51
863,51
864,51
865,51
866,52
867,51
868,51
869,51
870,52
871,51
872,51
873,51
874,50
875,51
876,51
877,47
878,51
879,50
880,51
881,51
882,50
883,51
884,51
885,52
886,48
887,51
888,51
889,51
890,50
891,51
892,51
893,50
894,51
895,50
896,51
897,50
898,52
899,51
900,50
901,50
902,51
903,52
904,52
905,51
906,50
907,50
908,51
909,52
910,51
911,51
912,51
913,50
914,52
915,52
916,51
917,52
918,50
919,51
920,50
921,50
922,51
923,51
924,51
925,50
926,50
927,50
928,50
929,51
930,51
931,51
932,50
933,50
934,52
935,52
936,51
937,51
938,50
939,51
940,50
941,47
942,51
943,50
944,50
945,51
946,50
947,51
948,51
949,50
950,51
951,51
952,50
953,51
954,51
955,51
956,49
957,50
958,51
959,47
960,54
961,53
962,52
963,51
964,50
965,51
966,51
967,51
968,50
969,52
970,48
971,51
972,50
973,51
974,50
975,51
976,50
977,51
978,50
979,46
980,51
981,50
982,51
983,51
984,51
985,51
986,51
987,51
988,50
989,51
990,51
991,50
992,50
993,50
994,52
995,50
996,51
997,48
998,52
999,51
