n,RTT (us)
0,425
1,139
2,263
3,254
4,244
5,250
6,251
7,138
8,128
9,152
10,131
11,133
12,242
13,257
14,241
15,254
16,249
17,254
18,260
19,250
20,147
21,130
22,150
23,150
24,138
25,151
26,149
27,149
28,148
29,131
30,129
31,134
32,155
33,162
34,143
35,156
36,129
37,130
38,131
39,128
40,133
41,131
42,150
43,150
44,145
45,133
46,129
47,133
48,165
49,131
50,132
51,152
52,147
53,131
54,202
55,255
56,210
57,224
58,220
59,253
60,222
61,258
62,155
63,247
64,159
65,161
66,139
67,142
68,145
69,143
70,135
71,134
72,254
73,271
74,244
75,252
76,253
77,138
78,133
79,263
80,250
81,232
82,244
83,260
84,253
85,244
86,256
87,142
88,174
89,171
90,150
91,132
92,162
93,230
94,231
95,244
96,260
97,245
98,241
99,243
100,264
101,146
102,145
103,139
104,139
105,151
106,171
107,149
108,201
109,234
110,213
111,216
112,229
113,141
114,145
115,130
116,130
117,134
118,130
119,133
120,144
121,140
122,130
123,147
124,130
125,130
126,131
127,133
128,148
129,54
130,146
131,164
132,137
133,138
134,262
135,137
136,128
137,134
138,148
139,246
140,241
141,234
142,242
143,254
144,148
145,204
146,135
147,130
148,130
149,155
150,230
151,257
152,231
153,242
154,251
155,232
156,242
157,250
158,154
159,131
160,148
161,151
162,126
163,132
164,129
165,134
166,126
167,131
168,132
169,150
170,130
171,148
172,132
173,128
174,129
175,141
176,139
177,134
178,152
179,151
180,132
181,131
182,128
183,130
184,129
185,135
186,153
187,242
188,133
189,205
190,233
191,242
192,137
193,129
194,51
195,131
196,139
197,142
198,140
199,264
200,232
201,136
202,128
203,112
204,223
205,253
206,146
207,131
208,249
209,242
210,237
211,140
212,128
213,137
214,149
215,132
216,138
217,144
218,133
219,137
220,129
221,132
222,134
223,124
224,127
225,144
226,136
227,134
228,156
229,124
230,232
231,243
232,232
233,226
234,137
235,127
236,128
237,134
238,238
239,145
240,138
241,132
242,129
243,148
244,149
245,207
246,234
247,138
248,143
249,141
250,153
251,141
252,157
253,156
254,125
255,154
256,148
257,127
258,124
259,150
260,129
261,129
262,128
263,121
264,132
265,141
266,126
267,134
268,128
269,128
270,128
271,227
272,243
273,139
274,130
275,147
276,129
277,134
278,145
279,131
280,135
281,243
282,238
283,222
284,239
285,236
286,136
287,141
288,128
289,125
290,125
291,123
292,205
293,244
294,241
295,230
296,232
297,243
298,242
299,234
300,137
301,131
302,139
303,131
304,138
305,151
306,147
307,123
308,203
309,232
310,223
311,135
312,264
313,138
314,128
315,135
316,134
317,207
318,244
319,229
320,137
321,124
322,135
323,54
324,145
325,226
326,231
327,234
328,241
329,243
330,137
331,129
332,119
333,130
334,121
335,130
336,134
337,128
338,132
339,144
340,118
341,121
342,118
343,124
344,212
345,235
346,232
347,239
348,231
349,233
350,221
351,236
352,139
353,202
354,232
355,233
356,247
357,242
358,241
359,230
360,233
361,140
362,126
363,195
364,231
365,235
366,139
367,212
368,222
369,141
370,135
371,120
372,119
373,124
374,125
375,121
376,118
377,124
378,126
379,126
380,128
381,130
382,126
383,121
384,118
385,123
386,116
387,122
388,52
389,134
390,53
391,51
392,50
393,54
394,54
395,57
396,54
397,56
398,54
399,57
400,55
401,54
402,55
403,55
404,54
405,55
406,56
407,54
408,53
409,55
410,54
411,56
412,54
413,54
414,53
415,54
416,54
417,54
418,53
419,55
420,53
421,55
422,55
423,57
424,54
425,53
426,54
427,55
428,55
429,55
430,54
431,56
432,55
433,54
434,56
435,56
436,54
437,63
438,55
439,58
440,60
441,59
442,58
443,55
444,54
445,56
446,54
447,55
448,54
449,53
450,53
451,53
452,57
453,54
454,67
455,54
456,53
457,56
458,53
459,56
460,55
461,54
462,56
463,56
464,54
465,54
466,60
467,60
468,54
469,56
470,54
471,60
472,55
473,54
474,56
475,54
476,55
477,55
478,54
479,57
480,54
481,54
482,52
483,55
484,55
485,54
486,54
487,56
488,57
489,54
490,54
491,54
492,54
493,54
494,64
495,57
496,56
497,54
498,54
499,57
500,54
501,55
502,58
503,59
504,57
505,61
506,61
507,59
508,56
509,53
510,53
511,56
512,54
513,55
514,55
515,56
516,54
517,55
518,54
519,55
520,53
521,54
522,57
523,55
524,53
525,55
526,54
527,55
528,54
529,64
530,54
531,55
532,53
533,56
534,54
535,53
536,54
537,54
538,53
539,57
540,55
541,53
542,57
543,55
544,54
545,52
546,54
547,55
548,54
549,54
550,54
551,56
552,55
553,54
554,53
555,56
556,54
557,56
558,55
559,59
560,58
561,54
562,54
563,55
564,54
565,56
566,54
567,61
568,58
569,58
570,59
571,59
572,58
573,61
574,58
575,62
576,62
577,57
578,57
579,60
580,57
581,59
582,57
583,58
584,57
585,57
586,59
587,59
588,58
589,63
590,57
591,60
592,60
593,58
594,57
595,59
596,58
597,58
598,58
599,59
600,58
601,57
602,58
603,60
604,58
605,59
606,61
607,59
608,68
609,58
610,57
611,58
612,58
613,58
614,65
615,58
616,57
617,57
618,59
619,59
620,59
621,59
622,60
623,60
624,58
625,58
626,57
627,58
628,57
629,60
630,60
631,59
632,56
633,54
634,54
635,57
636,55
637,54
638,53
639,55
640,52
641,54
642,52
643,54
644,55
645,61
646,55
647,54
648,54
649,54
650,53
651,55
652,53
653,55
654,56
655,59
656,56
657,53
658,53
659,54
660,52
661,53
662,58
663,55
664,52
665,55
666,53
667,55
668,53
669,53
670,53
671,56
672,52
673,54
674,57
675,54
676,49
677,52
678,52
679,53
680,52
681,53
682,53
683,55
684,53
685,54
686,54
687,55
688,54
689,54
690,55
691,54
692,54
693,55
694,53
695,54
696,53
697,55
698,54
699,55
700,53
701,54
702,54
703,54
704,56
705,53
706,53
707,54
708,53
709,53
710,52
711,56
712,53
713,53
714,53
715,53
716,53
717,53
718,52
719,53
720,53
721,53
722,53
723,54
724,52
725,52
726,54
727,55
728,55
729,56
730,52
731,53
732,53
733,53
734,54
735,55
736,54
737,54
738,53
739,54
740,53
741,54
742,52
743,58
744,53
745,53
746,55
747,54
748,53
749,54
750,69
751,59
752,55
753,55
754,53
755,54
756,54
757,53
758,53
759,55
760,69
761,53
762,53
763,55
764,52
765,53
766,53
767,54
768,54
769,54
770,53
771,53
772,53
773,54
774,52
775,54
776,52
777,53
778,55
779,54
780,55
781,55
782,53
783,54
784,53
785,53
786,54
787,53
788,54
789,53
790,54
791,52
792,53
793,52
794,55
795,54
796,52
797,53
798,53
799,52
800,51
801,53
802,53
803,55
804,53
805,54
806,52
807,53
808,53
809,52
810,53
811,55
812,53
813,53
814,52
815,54
816,54
817,53
818,53
819,52
820,52
821,54
822,53
823,53
824,52
825,52
826,51
827,53
828,52
829,52
830,52
831,53
832,53
833,52
834,54
835,53
836,52
837,53
838,53
839,55
840,59
841,52
842,52
843,53
844,52
845,52
846,52
847,54
848,54
849,53
850,52
851,54
852,54
853,56
854,53
855,54
856,54
857,54
858,53
859,61
860,52
861,55
862,51
863,54
864,53
865,53
866,58
867,55
868,53
869,55
870,52
871,53
872,52
873,53
874,53
875,54
876,54
877,54
878,54
879,54
880,53
881,53
882,54
883,54
884,53
885,53
886,53
887,57
888,52
889,52
890,54
891,54
892,53
893,54
894,54
895,54
896,53
897,56
898,52
899,53
900,52
901,52
902,52
903,54
904,51
905,54
906,53
907,54
908,52
909,52
910,54
911,53
912,53
913,54
914,54
915,54
916,51
917,53
918,52
919,54
920,54
921,53
922,57
923,54
924,52
925,53
926,53
927,54
928,53
929,53
930,55
931,53
932,55
933,53
934,52
935,54
936,53
937,53
938,53
939,56
940,55
941,53
942,52
943,54
944,54
945,54
946,54
947,55
948,54
949,53
950,53
951,54
952,53
953,53
954,56
955,55
956,53
957,55
958,52
959,54
960,53
