nstream,max throughput (Gbps)
1,126.46814519521945
2,224.75086829002984
3,325.48456691155354
4,439.47580061966426
5,534.5142722708896
6,641.9289590895812
7,744.6098960587633
8,802.5465406487338
9,896.0308956576633
10,976.7301848286387
11,1109.829238357098
12,1170.1531656633188
13,1200.239370254998
14,1335.78197933204
15,1333.1552620984376
16,1489.1874173198494
17,1452.752671220762
18,1516.7521941707673
19,1602.110892574356
20,1662.8819638736509
21,1770.9626421092362
22,1784.71164564566
23,1805.301578107825
24,1829.1940073979938
25,1898.0006865364653
26,1874.8708019246835
27,1984.6583650716213
28,1922.0648127471184
29,1957.3444126205795
30,2001.8619180627256
31,2035.8182601762062
32,2033.0142417253908
33,2012.7057519097862
34,2553.4933361669573
35,2077.9461602302113
36,1988.869199583711
37,1991.201076726335
38,2090.2471655434983
39,2105.522608311825
40,2087.7131513264194
41,2152.9842290214947
42,2144.8845819384906
43,2115.4511394413835
44,2167.0457843770173
45,2167.73769839759
46,2211.706849056615
47,2228.98210244517
48,2212.7254564929854
49,2179.2065765937446
50,2305.5955217509018
51,2395.8299441845234
52,2354.9067183869665
53,2481.7510070250864
54,2505.4597521310084
55,2516.3148710896144
56,2589.6333732684325
57,2638.056079755688
58,2597.002233338737
59,2676.260841122168
60,2669.10330757864
61,2563.817243449272
62,2747.316042136545
63,3132.088754418298
64,2811.199352429529
65,2834.506414536009
66,3377.2616213460415
67,3030.9859427202723
68,3441.430558904187
69,3078.9108473588844
70,3036.6580561234373
71,3045.6836230967597
72,3065.3629186882913
73,3071.9387470671118
74,3047.552568244
75,3647.4064643331735
76,3024.518674824333
77,3381.14900380666
78,3188.200623266585
79,3206.342767076749
80,3229.8679184717075
81,3245.4586232473935
82,3224.885445424761
83,3241.201884863644
84,3251.2246822247776
85,3228.7971444599184
86,3255.3911860497938
87,3277.406583603642
88,3247.893520854432
89,3295.7268595524347
90,3301.9744090504555
91,3310.530611441885
92,3249.1103268561883
93,3204.3561399875402
94,3315.7451318766507
95,3222.7628245834435
96,3524.0254021413875
97,3325.00914371863
98,3312.3116715934157
99,3339.6516893188127
100,3247.069445551233
101,3379.255058077702
102,3692.592642155659
103,3342.960083509544
104,3351.8708402449042
105,3346.6587579540155
106,3330.63770843903
107,3323.8246847234427
108,3321.0342848578566
109,3302.7846227505747
110,3328.946354061971
111,3357.37155626333
112,3368.3773019479836
113,3251.8243097916134
114,3354.6081447379865
115,3304.014060944648
116,3258.0274354251032
117,3270.933981973628
118,3300.6270855795515
119,3345.629748455079
120,3346.7271301646647
121,3374.7918321014013
122,3347.0443287809126
123,3334.4327624770726
124,3401.8484831073115
125,3372.6026062043443
126,3344.400043485212
127,3558.8513921867248
128,3480.7199276320234
