13:30:20      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:30:21        0   3221444         -    0.00    0.00    0.00    0.00    0.00    64  scap
13:30:21        0         -   3221444    0.00    0.00    0.00    0.00    0.00    64  |__scap
13:30:21        0         -   3221445    0.00    0.00    0.00    0.00    0.00    65  |__scap
13:30:21        0         -   3221446    0.00    0.00    0.00    0.00    0.00    66  |__scap
13:30:21        0         -   3221447    0.00    0.00    0.00    0.00    0.00    67  |__scap
13:30:21        0         -   3221448    0.00    0.00    0.00    0.00    0.00    68  |__scap
13:30:21        0         -   3221449    0.00    0.00    0.00    0.00    0.00    69  |__scap
13:30:21        0         -   3221450    0.00    0.00    0.00    0.00    0.00    70  |__scap
13:30:21        0         -   3221459    0.00    0.00    0.00    0.00    0.00    71  |__RbPollThrd
13:30:21        0         -   3221460    0.00    0.00    0.00    0.00    0.00     0  |__SrvThrd
13:30:21        0         -   3221461    0.00    0.00    0.00    0.00    0.00     1  |__WrtThrd0
13:30:21        0         -   3221462    0.00    0.00    0.00    0.00    0.00     2  |__WrtThrd1
13:30:21        0         -   3221463    0.00    0.00    0.00    0.00    0.00    51  |__WrtThrd2
13:30:21        0         -   3221464    0.00    0.00    0.00    0.00    0.00     4  |__WrtThrd3
13:30:21        0         -   3221465    0.00    0.00    0.00    0.00    0.00    53  |__FlushThrd1
13:30:21        0         -   3221466    0.00    0.00    0.00    0.00    0.00     6  |__WrtThrd4
13:30:21        0         -   3221467    0.00    0.00    0.00    0.00    0.00    55  |__WrtThrd5
13:30:21        0         -   3221468    0.00    0.00    0.00    0.00    0.00     0  |__FlushThrd2
13:30:21        0         -   3221469    0.00    0.00    0.00    0.00    0.00     8  |__RdrThrd0
13:30:21        0         -   3221470    0.00    0.00    0.00    0.00    0.00    57  |__UpdRmtRdIdx
13:30:21        0         -   3221471    0.00    0.00    0.00    0.00    0.00    58  |__RdrThrd1
13:30:21        0         -   3221472    0.00    0.00    0.00    0.00    0.00    59  |__RdrThrd2
13:30:21        0         -   3221473    0.00    0.00    0.00    0.00    0.00    60  |__RdrThrd3
13:30:21        0         -   3221474    0.00    0.00    0.00    0.00    0.00    61  |__RdrThrd4
13:30:21        0         -   3221475    0.00    0.00    0.00    0.00    0.00    14  |__RdrThrd5
13:30:22        0   3221444         -   37.00    8.00    0.00    0.00   45.00    64  scap
13:30:22        0         -   3221444    0.00    0.00    0.00    0.00    0.00    64  |__scap
13:30:22        0         -   3221445    0.00    0.00    0.00    0.00    0.00    65  |__scap
13:30:22        0         -   3221446    0.00    0.00    0.00    0.00    0.00    66  |__scap
13:30:22        0         -   3221447    0.00    0.00    0.00    0.00    0.00    67  |__scap
13:30:22        0         -   3221448    0.00    0.00    0.00    0.00    0.00    68  |__scap
13:30:22        0         -   3221449    0.00    0.00    0.00    0.00    0.00    69  |__scap
13:30:22        0         -   3221450    0.00    0.00    0.00    0.00    0.00    70  |__scap
13:30:22        0         -   3221459    0.00    4.00    0.00    0.00    4.00    71  |__RbPollThrd
13:30:22        0         -   3221460    0.00    0.00    0.00    0.00    0.00     0  |__SrvThrd
13:30:22        0         -   3221461    8.00    0.00    0.00    0.00    8.00     1  |__WrtThrd0
13:30:22        0         -   3221462    0.00    3.00    0.00    0.00    3.00     2  |__WrtThrd1
13:30:22        0         -   3221463    0.00    0.00    0.00    0.00    0.00    51  |__WrtThrd2
13:30:22        0         -   3221464    0.00    0.00    0.00    0.00    0.00     4  |__WrtThrd3
13:30:22        0         -   3221465    0.00    0.00    0.00    0.00    0.00    53  |__FlushThrd1
13:30:22        0         -   3221466    0.00    0.00    0.00    0.00    0.00     6  |__WrtThrd4
13:30:22        0         -   3221467    0.00    0.00    0.00    0.00    0.00    55  |__WrtThrd5
13:30:22        0         -   3221468    0.00    0.00    0.00    0.00    0.00     0  |__FlushThrd2
13:30:22        0         -   3221469    5.00    0.00    0.00    0.00    5.00     8  |__RdrThrd0
13:30:22        0         -   3221470    0.00    0.00    0.00    0.00    0.00    57  |__UpdRmtRdIdx
13:30:22        0         -   3221471    4.00    0.00    0.00    0.00    4.00    58  |__RdrThrd1
13:30:22        0         -   3221472    0.00    0.00    0.00    0.00    0.00    59  |__RdrThrd2
13:30:22        0         -   3221473    0.00    0.00    0.00    0.00    0.00    64  |__RdrThrd3
13:30:22        0         -   3221474    0.00    0.00    0.00    0.00    0.00    61  |__RdrThrd4
13:30:22        0         -   3221475    0.00    0.00    0.00    0.00    0.00    15  |__RdrThrd5
13:30:22        0         -   3221744    5.00    0.00    0.00    0.00    5.00     0  |__FlushThrd1
13:30:22        0         -   3221745    5.00    0.00    0.00    0.00    5.00    50  |__FlushThrd2
13:30:22        0         -   3221746    5.00    0.00    0.00    0.00    5.00     3  |__UpdRmtRdIdx
13:30:22        0         -   3221747    0.00    0.00    0.00    0.00    0.00     6  |__NotificThrd
13:30:23        0   3221444         -  505.00   86.00    0.00    0.00  591.00    64  scap
13:30:23        0         -   3221444    0.00    0.00    0.00    0.00    0.00    64  |__scap
13:30:23        0         -   3221445    0.00    0.00    0.00    0.00    0.00    65  |__scap
13:30:23        0         -   3221446    0.00    0.00    0.00    0.00    0.00    66  |__scap
13:30:23        0         -   3221447    0.00    0.00    0.00    0.00    0.00    67  |__scap
13:30:23        0         -   3221448    0.00    0.00    0.00    0.00    0.00    68  |__scap
13:30:23        0         -   3221449    0.00    0.00    0.00    0.00    0.00    69  |__scap
13:30:23        0         -   3221450    0.00    0.00    0.00    0.00    0.00    70  |__scap
13:30:23        0         -   3221459    0.00    0.00    0.00    0.00    0.00    71  |__RbPollThrd
13:30:23        0         -   3221460    0.00    0.00    0.00    0.00    0.00    64  |__SrvThrd
13:30:23        0         -   3221461    0.00    0.00    0.00    0.00    0.00     1  |__WrtThrd0
13:30:23        0         -   3221462    5.00   86.00    0.00    0.00   91.00    65  |__WrtThrd1
13:30:23        0         -   3221463    0.00    0.00    0.00    0.00    0.00    51  |__WrtThrd2
13:30:23        0         -   3221464    0.00    0.00    0.00    0.00    0.00     4  |__WrtThrd3
13:30:23        0         -   3221465    0.00    0.00    0.00    0.00    0.00    53  |__FlushThrd1
13:30:23        0         -   3221466    0.00    0.00    0.00    0.00    0.00     6  |__WrtThrd4
13:30:23        0         -   3221467    0.00    0.00    0.00    0.00    0.00    55  |__WrtThrd5
13:30:23        0         -   3221468    0.00    0.00    0.00    0.00    0.00     0  |__FlushThrd2
13:30:23        0         -   3221469  100.00    0.00    0.00    0.00  100.00     8  |__RdrThrd0
13:30:23        0         -   3221470    0.00    0.00    0.00    0.00    0.00    57  |__UpdRmtRdIdx
13:30:23        0         -   3221471   99.00    0.00    0.00    0.00   99.00    58  |__RdrThrd1
13:30:23        0         -   3221472    0.00    0.00    0.00    0.00    0.00    59  |__RdrThrd2
13:30:23        0         -   3221473    0.00    0.00    0.00    0.00    0.00    64  |__RdrThrd3
13:30:23        0         -   3221474    0.00    0.00    0.00    0.00    0.00    61  |__RdrThrd4
13:30:23        0         -   3221475    0.00    0.00    0.00    0.00    0.00    15  |__RdrThrd5
13:30:23        0         -   3221744  100.00    0.00    0.00    0.00  100.00     0  |__FlushThrd1
13:30:23        0         -   3221745  100.00    0.00    0.00    0.00  100.00    50  |__FlushThrd2
13:30:23        0         -   3221746  100.00    0.00    0.00    0.00  100.00     3  |__UpdRmtRdIdx
13:30:23        0         -   3221747    0.00    0.00    0.00    0.00    0.00     6  |__NotificThrd
13:30:24        0   3221444         -  506.00   85.00    0.00    0.00  591.00    64  scap
13:30:24        0         -   3221444    0.00    0.00    0.00    0.00    0.00    64  |__scap
13:30:24        0         -   3221445    0.00    0.00    0.00    0.00    0.00    65  |__scap
13:30:24        0         -   3221446    0.00    0.00    0.00    0.00    0.00    66  |__scap
13:30:24        0         -   3221447    0.00    0.00    0.00    0.00    0.00    67  |__scap
13:30:24        0         -   3221448    0.00    0.00    0.00    0.00    0.00    68  |__scap
13:30:24        0         -   3221449    0.00    0.00    0.00    0.00    0.00    69  |__scap
13:30:24        0         -   3221450    0.00    0.00    0.00    0.00    0.00    70  |__scap
13:30:24        0         -   3221459    0.00    0.00    0.00    0.00    0.00    71  |__RbPollThrd
13:30:24        0         -   3221460    0.00    0.00    0.00    0.00    0.00    64  |__SrvThrd
13:30:24        0         -   3221461    0.00    0.00    0.00    0.00    0.00     1  |__WrtThrd0
13:30:24        0         -   3221462    5.00   85.00    0.00    0.00   90.00    64  |__WrtThrd1
13:30:24        0         -   3221463    0.00    0.00    0.00    0.00    0.00    51  |__WrtThrd2
13:30:24        0         -   3221464    0.00    0.00    0.00    0.00    0.00     4  |__WrtThrd3
13:30:24        0         -   3221465    0.00    0.00    0.00    0.00    0.00    53  |__FlushThrd1
13:30:24        0         -   3221466    0.00    0.00    0.00    0.00    0.00     6  |__WrtThrd4
13:30:24        0         -   3221467    0.00    0.00    0.00    0.00    0.00    55  |__WrtThrd5
13:30:24        0         -   3221468    0.00    0.00    0.00    0.00    0.00     0  |__FlushThrd2
13:30:24        0         -   3221469  100.00    0.00    0.00    0.00  100.00     8  |__RdrThrd0
13:30:24        0         -   3221470    0.00    0.00    0.00    0.00    0.00    57  |__UpdRmtRdIdx
13:30:24        0         -   3221471   99.00    1.00    0.00    0.00  100.00    58  |__RdrThrd1
13:30:24        0         -   3221472    0.00    0.00    0.00    0.00    0.00    59  |__RdrThrd2
13:30:24        0         -   3221473    0.00    0.00    0.00    0.00    0.00    64  |__RdrThrd3
13:30:24        0         -   3221474    0.00    0.00    0.00    0.00    0.00    61  |__RdrThrd4
13:30:24        0         -   3221475    0.00    0.00    0.00    0.00    0.00    15  |__RdrThrd5
13:30:24        0         -   3221744  100.00    0.00    0.00    0.00  100.00     0  |__FlushThrd1
13:30:24        0         -   3221745  100.00    0.00    0.00    0.00  100.00    50  |__FlushThrd2
13:30:24        0         -   3221746  100.00    0.00    0.00    0.00  100.00     3  |__UpdRmtRdIdx
