time,KB
20:50:09.935,13156372
20:50:09.937,13156372
20:50:09.939,13156372
20:50:09.942,13156372
20:50:09.944,13156624
20:50:09.946,13156624
20:50:09.949,13156624
20:50:09.951,13156624
20:50:09.953,13156624
20:50:09.955,13157128
20:50:09.957,13157128
20:50:09.959,13157128
20:50:09.962,13154104
20:50:09.964,13154104
20:50:09.966,13153852
20:50:09.968,13154356
20:50:09.970,13153852
20:50:09.973,13154356
20:50:09.975,13154356
20:50:09.977,13154860
20:50:09.980,13155112
20:50:09.982,13155856
20:50:09.984,13155856
20:50:09.987,13155856
20:50:09.989,13155856
20:50:09.991,13155856
20:50:09.993,13156360
20:50:09.996,13155856
20:50:09.998,13153840
20:50:10.000,13154344
20:50:10.002,13154344
20:50:10.004,13154848
20:50:10.007,13154848
20:50:10.009,13154604
20:50:10.011,13155108
20:50:10.013,13155332
20:50:10.016,13155332
20:50:10.018,13156340
20:50:10.020,13156340
20:50:10.022,13150796
20:50:10.025,13151300
20:50:10.027,13151300
20:50:10.029,13151300
20:50:10.031,13151300
20:50:10.033,13152812
20:50:10.036,13153000
20:50:10.038,13153504
20:50:10.040,13153504
20:50:10.043,13153252
20:50:10.045,13153756
20:50:10.047,13153756
20:50:10.049,13153756
20:50:10.051,13147700
20:50:10.054,13147900
20:50:10.056,13148408
20:50:10.058,13148408
20:50:10.061,13148912
20:50:10.063,13148912
20:50:10.065,13149416
20:50:10.067,13149416
20:50:10.069,13149696
20:50:10.071,13150200
20:50:10.073,13150200
20:50:10.076,13150200
20:50:10.078,13150704
20:50:10.080,13150704
20:50:10.082,13150704
20:50:10.084,13151208
20:50:10.086,13148460
20:50:10.088,13148964
20:50:10.091,13149972
20:50:10.093,13150980
20:50:10.095,13150980
20:50:10.097,13151484
20:50:10.099,13151484
20:50:10.102,13151484
20:50:10.104,13151988
20:50:10.106,13149604
20:50:10.108,13149604
20:50:10.110,13150108
20:50:10.113,13150108
20:50:10.115,13150360
20:50:10.117,13150864
20:50:10.119,13150864
20:50:10.122,13151368
20:50:10.124,13151872
20:50:10.126,13152376
20:50:10.129,13152376
20:50:10.131,13152376
