time,KB
15:33:26.320,13301924
15:33:26.322,13301924
15:33:26.324,13301924
15:33:26.326,13301924
15:33:26.329,13301924
15:33:26.331,13301924
15:33:26.333,13301924
15:33:26.335,13301924
15:33:26.337,13301924
15:33:26.339,13301924
15:33:26.342,13301924
15:33:26.344,13302176
15:33:26.346,13302176
15:33:26.348,13302176
15:33:26.350,13302176
15:33:26.353,13302428
15:33:26.355,13302428
15:33:26.358,13302428
15:33:26.360,13302680
15:33:26.362,13302680
15:33:26.365,13302680
15:33:26.367,13303460
15:33:26.369,13303460
15:33:26.371,13303712
15:33:26.373,13303712
15:33:26.375,13303712
15:33:26.377,13304720
15:33:26.380,13304720
15:33:26.382,13304720
15:33:26.384,13304720
15:33:26.386,13305224
15:33:26.388,13305224
15:33:26.391,13305476
15:33:26.393,13305476
15:33:26.395,13306484
15:33:26.397,13306484
15:33:26.400,13306988
15:33:26.402,13306988
15:33:26.404,13306988
15:33:26.406,13306988
15:33:26.408,13307492
15:33:26.411,13307492
15:33:26.413,13307996
15:33:26.415,13307996
15:33:26.417,13307996
15:33:26.419,13309028
15:33:26.422,13309228
15:33:26.424,13309228
15:33:26.426,13309732
15:33:26.428,13309732
15:33:26.431,13310072
15:33:26.433,13309568
15:33:26.435,13310072
15:33:26.438,13310072
15:33:26.440,13310576
15:33:26.442,13310576
15:33:26.444,13310576
15:33:26.446,13311080
15:33:26.449,13311300
15:33:26.451,13311300
15:33:26.453,13311804
15:33:26.455,13311804
15:33:26.458,13312308
15:33:26.460,13312308
15:33:26.462,13312308
15:33:26.464,13312812
15:33:26.466,13312812
15:33:26.469,13313320
15:33:26.471,13313320
15:33:26.473,13313824
15:33:26.475,13313824
15:33:26.477,13313824
15:33:26.479,13314328
15:33:26.482,13313824
15:33:26.484,13314328
15:33:26.486,13314328
15:33:26.488,13314328
15:33:26.491,13314832
15:33:26.493,13314832
15:33:26.495,13313320
15:33:26.497,13313640
15:33:26.499,13313640
15:33:26.502,13314144
15:33:26.504,13314144
15:33:26.506,13314648
15:33:26.508,13316160
15:33:26.511,13316156
15:33:26.513,13314668
15:33:26.515,13315148
15:33:26.517,13315148
15:33:26.519,13315148
15:33:26.521,13315400
15:33:26.523,13315400
15:33:26.526,13315904
15:33:26.528,13315904
15:33:26.530,13315904
15:33:26.532,13316408
15:33:26.534,13316152
15:33:26.536,13316656
15:33:26.539,13317160
15:33:26.541,13317160
15:33:26.543,13317600
15:33:26.545,13317600
15:33:26.547,13317600
15:33:26.549,13317600
15:33:26.552,13318352
15:33:26.554,13318352
15:33:26.556,13318856
15:33:26.558,13318856
15:33:26.560,13319360
15:33:26.563,13319360
15:33:26.565,13319360
15:33:26.567,13319108
15:33:26.569,13319612
15:33:26.571,13319612
15:33:26.573,13320116
15:33:26.575,13320116
15:33:26.578,13320620
15:33:26.580,13320620
15:33:26.582,13321124
15:33:26.585,13321124
15:33:26.587,13321628
15:33:26.589,13321628
15:33:26.591,13321628
15:33:26.593,13321628
15:33:26.595,13322132
15:33:26.598,13321628
15:33:26.600,13322132
15:33:26.602,13322132
15:33:26.604,13322636
15:33:26.606,13323140
15:33:26.608,13322888
15:33:26.610,13322888
15:33:26.613,13321356
15:33:26.615,13320852
15:33:26.617,13321104
15:33:26.619,13321104
15:33:26.621,13321104
15:33:26.623,13321352
15:33:26.626,13321352
15:33:26.628,13321352
15:33:26.630,13321856
15:33:26.632,13321856
15:33:26.634,13322360
15:33:26.637,13322360
15:33:26.639,13322864
15:33:26.641,13322864
15:33:26.643,13323368
15:33:26.645,13323368
15:33:26.647,13323872
15:33:26.650,13323872
15:33:26.652,13323872
15:33:26.654,13324376
15:33:26.656,13324376
15:33:26.658,13323368
15:33:26.661,13323368
15:33:26.663,13323368
15:33:26.665,13323872
15:33:26.667,13323872
15:33:26.670,13323872
15:33:26.672,13323372
15:33:26.674,13323720
15:33:26.676,13323720
15:33:26.678,13323720
15:33:26.680,13324224
15:33:26.682,13324224
15:33:26.685,13324728
15:33:26.687,13324728
15:33:26.689,13324448
15:33:26.691,13324952
15:33:26.693,13324952
15:33:26.695,13324896
15:33:26.697,13325904
15:33:26.700,13325904
15:33:26.702,13325904
15:33:26.704,13326656
15:33:26.706,13326656
15:33:26.709,13326656
15:33:26.711,13326656
15:33:26.713,13326656
15:33:26.715,13326656
15:33:26.717,13326152
15:33:26.719,13326152
15:33:26.722,13326404
15:33:26.724,13326404
15:33:26.726,13326936
15:33:26.728,13325928
15:33:26.730,13325928
15:33:26.732,13326432
15:33:26.735,13326432
15:33:26.737,13326432
15:33:26.739,13327184
15:33:26.741,13327184
15:33:26.744,13327688
15:33:26.746,13328192
15:33:26.748,13328696
15:33:26.750,13328696
15:33:26.753,13329200
15:33:26.755,13329200
15:33:26.757,13329704
15:33:26.759,13329704
15:33:26.761,13329704
15:33:26.763,13330208
15:33:26.766,13330208
15:33:26.768,13330712
15:33:26.770,13330208
15:33:26.772,13330712
15:33:26.774,13331216
15:33:26.777,13331216
15:33:26.779,13331216
15:33:26.781,13331720
15:33:26.783,13331716
15:33:26.785,13331716
15:33:26.788,13331716
15:33:26.790,13332728
15:33:26.792,13332728
15:33:26.794,13332728
15:33:26.797,13332728
15:33:26.799,13333232
15:33:26.801,13333232
15:33:26.803,13333232
15:33:26.806,13333232
15:33:26.808,13333736
15:33:26.810,13333712
15:33:26.812,13333208
15:33:26.814,13333208
15:33:26.817,13333716
15:33:26.819,13333716
15:33:26.821,13334220
15:33:26.823,13334220
15:33:26.825,13334560
15:33:26.827,13334560
15:33:26.829,13335064
15:33:26.832,13335064
15:33:26.834,13335064
15:33:26.836,13335064
15:33:26.838,13335568
15:33:26.840,13335568
15:33:26.843,13336076
15:33:26.845,13336076
15:33:26.847,13336076
15:33:26.849,13336580
15:33:26.851,13337088
15:33:26.853,13337088
15:33:26.855,13337344
15:33:26.858,13337344
15:33:26.860,13337848
15:33:26.862,13337848
15:33:26.864,13337848
15:33:26.866,13338352
15:33:26.868,13338352
15:33:26.871,13338352
15:33:26.873,13338604
15:33:26.875,13338604
15:33:26.877,13339112
15:33:26.880,13339112
15:33:26.882,13339112
15:33:26.884,13339416
15:33:26.886,13339920
15:33:26.888,13339668
15:33:26.890,13340172
15:33:26.892,13340172
15:33:26.895,13340172
15:33:26.897,13340424
15:33:26.899,13340424
15:33:26.902,13340932
15:33:26.904,13340932
15:33:26.906,13340932
15:33:26.908,13341436
15:33:26.911,13341436
15:33:26.913,13341436
15:33:26.915,13341944
15:33:26.917,13341976
15:33:26.919,13342232
15:33:26.921,13342232
15:33:26.924,13342736
15:33:26.926,13342736
15:33:26.928,13343244
15:33:26.931,13343244
15:33:26.933,13343244
15:33:26.935,13343988
15:33:26.938,13343988
15:33:26.940,13343988
15:33:26.942,13344492
15:33:26.944,13344492
15:33:26.946,13344996
15:33:26.949,13344996
15:33:26.951,13345248
15:33:26.953,13345248
15:33:26.955,13345752
15:33:26.957,13345752
15:33:26.960,13345748
15:33:26.962,13345748
15:33:26.964,13345748
15:33:26.967,13345748
15:33:26.969,13346252
15:33:26.971,13346252
15:33:26.973,13346760
15:33:26.976,13346508
15:33:26.978,13346760
15:33:26.980,13346760
15:33:26.982,13346760
15:33:26.985,13346760
15:33:26.987,13347768
15:33:26.989,13347768
15:33:26.991,13348272
15:33:26.994,13348272
15:33:26.996,13348272
15:33:26.998,13348272
15:33:27.000,13348780
15:33:27.002,13348780
15:33:27.005,13349284
15:33:27.007,13349284
15:33:27.009,13349284
15:33:27.012,13349788
15:33:27.014,13349788
15:33:27.016,13349536
15:33:27.018,13350040
15:33:27.020,13350040
15:33:27.023,13343996
15:33:27.025,13343492
15:33:27.027,13343996
15:33:27.029,13343996
15:33:27.032,13344248
15:33:27.034,13344248
15:33:27.036,13344248
15:33:27.038,13337948
15:33:27.040,13337948
15:33:27.042,13338200
15:33:27.044,13338200
15:33:27.047,13338704
15:33:27.049,13339208
15:33:27.051,13339208
15:33:27.053,13339208
15:33:27.056,13339712
15:33:27.058,13339712
15:33:27.060,13339712
15:33:27.062,13340216
15:33:27.064,13339348
15:33:27.066,13339348
15:33:27.068,13339852
15:33:27.071,13339852
15:33:27.073,13339848
15:33:27.075,13339848
15:33:27.078,13339848
15:33:27.080,13340352
15:33:27.082,13340856
15:33:27.084,13341360
15:33:27.086,13341864
15:33:27.088,13341864
15:33:27.090,13342116
15:33:27.093,13342596
15:33:27.095,13343100
15:33:27.097,13342848
15:33:27.099,13339312
15:33:27.102,13339312
15:33:27.104,13339312
15:33:27.106,13339312
15:33:27.108,13333092
15:33:27.110,13333092
15:33:27.113,13333596
15:33:27.115,13333596
15:33:27.117,13334100
15:33:27.119,13334100
15:33:27.121,13334604
15:33:27.123,13334604
15:33:27.126,13335108
15:33:27.128,13334904
15:33:27.130,13335408
15:33:27.132,13335408
15:33:27.135,13335408
15:33:27.137,13335408
15:33:27.139,13335156
15:33:27.141,13335156
15:33:27.143,13336164
15:33:27.145,13336164
15:33:27.148,13336148
15:33:27.150,13336148
15:33:27.152,13336148
15:33:27.154,13336148
15:33:27.157,13335896
15:33:27.159,13335896
15:33:27.161,13336400
15:33:27.163,13336400
15:33:27.165,13337408
15:33:27.168,13337408
15:33:27.170,13337408
15:33:27.172,13337912
15:33:27.174,13337912
15:33:27.176,13337912
15:33:27.179,13337912
15:33:27.181,13339172
15:33:27.183,13339164
15:33:27.185,13339164
15:33:27.187,13338664
15:33:27.189,13339168
15:33:27.192,13339168
15:33:27.194,13339672
15:33:27.196,13334060
15:33:27.198,13334564
15:33:27.200,13334564
15:33:27.202,13334564
15:33:27.205,13334564
15:33:27.207,13335068
15:33:27.209,13335068
15:33:27.211,13335320
15:33:27.214,13335320
15:33:27.216,13335824
15:33:27.218,13335824
15:33:27.220,13335824
15:33:27.222,13336328
15:33:27.225,13336328
15:33:27.227,13336076
15:33:27.229,13336584
15:33:27.231,13337088
15:33:27.234,13337088
15:33:27.236,13336836
15:33:27.238,13337088
15:33:27.240,13337088
15:33:27.242,13337592
15:33:27.245,13337592
15:33:27.247,13337592
15:33:27.249,13338096
15:33:27.251,13337844
15:33:27.253,13337844
15:33:27.255,13338348
15:33:27.258,13338348
15:33:27.260,13338852
15:33:27.262,13338852
15:33:27.264,13339356
15:33:27.267,13330772
15:33:27.269,13331276
15:33:27.271,13331276
15:33:27.273,13331780
15:33:27.275,13331276
15:33:27.278,13331276
15:33:27.280,13331276
15:33:27.282,13331780
15:33:27.284,13331528
15:33:27.286,13332032
15:33:27.289,13332032
15:33:27.291,13332536
15:33:27.293,13332536
15:33:27.295,13332536
15:33:27.297,13333040
15:33:27.299,13333544
15:33:27.302,13333544
15:33:27.304,13334048
15:33:27.306,13334048
15:33:27.308,13333796
15:33:27.311,13334044
15:33:27.313,13334040
15:33:27.315,13334040
15:33:27.317,13334292
15:33:27.319,13334292
15:33:27.322,13334292
15:33:27.324,13335300
15:33:27.326,13335300
15:33:27.328,13335048
15:33:27.331,13335556
15:33:27.333,13334780
15:33:27.335,13334780
15:33:27.338,13335284
15:33:27.340,13335284
15:33:27.342,13329992
15:33:27.344,13329992
15:33:27.347,13330496
15:33:27.349,13330496
15:33:27.351,13330244
15:33:27.353,13330244
15:33:27.356,13330748
15:33:27.358,13330496
15:33:27.360,13331000
15:33:27.363,13331000
15:33:27.365,13331048
15:33:27.367,13331556
15:33:27.369,13332060
15:33:27.372,13332060
15:33:27.374,13331792
15:33:27.376,13332296
15:33:27.378,13332296
15:33:27.380,13332212
15:33:27.382,13332464
15:33:27.385,13332464
15:33:27.387,13332968
15:33:27.389,13332212
15:33:27.391,13332212
15:33:27.393,13332212
15:33:27.395,13332212
15:33:27.398,13331956
15:33:27.400,13332208
15:33:27.402,13332712
15:33:27.404,13332712
15:33:27.406,13332196
15:33:27.409,13332700
15:33:27.411,13332700
15:33:27.413,13333204
15:33:27.415,13333204
15:33:27.417,13333204
15:33:27.419,13333708
15:33:27.421,13333708
15:33:27.424,13333708
15:33:27.426,13334216
15:33:27.428,13334216
15:33:27.430,13334724
15:33:27.432,13334724
15:33:27.434,13335228
15:33:27.436,13335228
15:33:27.439,13335448
15:33:27.441,13335448
15:33:27.443,13335448
15:33:27.445,13335448
15:33:27.447,13335448
15:33:27.449,13335704
15:33:27.452,13335200
15:33:27.454,13335704
15:33:27.456,13335704
15:33:27.458,13335704
15:33:27.460,13335692
15:33:27.462,13335692
15:33:27.464,13335440
15:33:27.466,13335944
15:33:27.469,13335944
15:33:27.471,13336204
15:33:27.473,13336204
15:33:27.475,13335700
15:33:27.478,13336204
15:33:27.480,13336204
15:33:27.482,13336196
15:33:27.484,13337204
15:33:27.486,13337204
15:33:27.489,13330148
15:33:27.491,13323596
15:33:27.493,13324100
15:33:27.495,13324100
15:33:27.497,13323816
15:33:27.499,13323340
15:33:27.501,13324352
15:33:27.503,13324352
15:33:27.505,13324856
15:33:27.507,13324856
15:33:27.510,13324856
15:33:27.512,13325608
15:33:27.514,13326112
15:33:27.516,13319800
15:33:27.518,13320304
15:33:27.521,13320304
15:33:27.523,13320808
15:33:27.525,13320556
15:33:27.527,13320484
15:33:27.529,13320484
15:33:27.532,13320988
15:33:27.534,13320732
15:33:27.536,13321740
15:33:27.538,13321740
15:33:27.540,13321740
15:33:27.542,13321740
