time,portsrc,portdest,bl,d,f,o,r,rb,t,tb,w
21:44:00.952,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:00.952,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:00.952,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:00.952,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:00.952,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:00.952,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:00.972,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:00.993,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.013,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.033,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.053,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.073,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.094,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.113,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.133,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.154,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.174,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.195,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.215,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.236,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.256,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.276,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.296,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.316,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.337,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:44:01.357,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:44:01.377,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:44:01.377,8888,58552,0,0,0,0,0,131072,0,2626560,0
21:44:01.377,34362,5555,0,0,0,0,0,131072,0,2626560,0
